uuid,latitude,longitude,stake_weight
0xa651c7c52d64a2014379902bbc92439d196499bcc36d94ff0395aa45837c66db,32.8546,-79.9748,2581834689232682
0x4c7c21084620f9e55f50f292d1803e5fbcf55c6d850b24b5e64efef08d2aa428,53.3331,-6.2489,1676379192332415
0xe2789cdac410113f017fa684bf08fbacd0877612d84464ae6e8474b56e5f21da,37.4565,126.7052,1584296755218707
0xb43fe1ef756cae4fefea16dad049fb0760b7d8593ace12527e302520d934d0d7,51.5085,-0.1257,1507479682663268
0x2784eb9f3b368be1db73256336014a01c02b1b06ab01df7387bb8945ca73045e,37.3394,-121.895,1507479605967672
0x9bfd93ebaa1efd65515642942a607eeca53a0188c04c21ced646d2f0b9f551e8,53.3215,-6.3144,1482742120274665
0xc32f662cd9718f02d8a8e5628f8f642fa27cd9b5f457b406ed734901a4939e34,54.6892,25.2798,1301718248298597
0x324df1e27c4129a58d73851ae0e9366064dc666a73e747051e203694a4cb257,0,0,1301113176731005
0x9c721c79ee082aafcdd99b1a71a833accdc48dba1a9a1bc5b5f8cc47ff7d49c0,22.2783,114.1747,1266060994532151
0xd7b10a9ddee853b3585dd1efd4902ab3ad4f482b94425a3780cc39e79e6d398,0,0,1177258974278072
0x6099edbe54f242bad50020dfd67646b1e46282999483e7064e70f02f7ea3c15,0,0,1143066313014994
0x9da88926fd4d773fd499fc41830a82fe9c9ff3508435e7a16b2d8f529e77cdda,51.4416,0.1487,1094283099913816
0xdb5247f859ce63dbe8940cf8773be722a60dcc594a8be9aca4b76abceb251b8e,50.633,3.0586,1085785997266667
0x2ded75e99c6efbe143a9648a3e88ebf9d0cf249b2af44d510bdd0287e8adcc79,50.1155,8.6842,1072809493434897
0x22dd12212d76bc5844b4a0605bf59fa56547f42a40fb42267e29adca5efecfc8,53.5,-2.35,1057768138127062
0x70ac104168697addf1569c26ffc00958435d6bd87e2a61e49e0c6eb16d07a10b,1.2897,103.8501,1055184534128416
0xa7375edf245124aa2531c74dcd0cbfb4c7aea02dbea32c7fbf72784533730874,21.0245,105.8412,1051118021606015
0x626495135e0f5a20c38aa4deb456890e7e7462d1bc096e9a90c1a7a3562f0f38,37.566,126.9784,1043317054909238
0xf1f6f780321e7259d0feeef98745da7f766eace664c43325779302b2724c8692,37.566,126.9784,1043079333736881
0x33f0c333f6fcb9d1ef54d54093f0482b31bb0bdcd34bfa446e7416ff930453c0,52.374,4.8897,1027662077119706
0x3edbf3e6444054c2a5a391221c9023882d0b2478576c445923a39b3bd0cde0a3,35.6895,139.6917,1024244246573352
0x880cb2b03f4158dc927fe6058c5b968636932d49fa1d2896a86bd849456455c7,50.4779,12.3713,1006305317365110
0x2738d91e160d9be37cd9689177546b567e28a3644b702388fd2c2be9c97682de,1.2897,103.8501,1005540223127057
0x6d00d52f94579e51308ae83841b5133e3a7e93b51fcd8cf338d766e3f0331026,1.2897,103.8501,1004685823952005
0x3d51eeb71188cc7ccf5f6f288a3a51a9a763222883cf392296b3d5ec3f2017ea,1.2897,103.8501,1004685790639946
0x8dd8b23892be142c2ec4b7e1427584c97403e570cde4e6d9a81d2b220c884af5,53.3331,-6.2489,1002983217895853
