uuid,latitude,longitude,stake_weight
6ec4592c-e1eb-42e9-a391-14809782afb5,48.8138,2.2350,1
3b2f717e-14ff-44c2-9cf7-30e05f7d7caf,50.9519,1.8563,1
8690ac56-efbd-43dc-b108-09b17bf02baa,55.7522,37.6156,1
8d6744d0-39d6-4d8d-aee3-7f3e767899ae,-22.9064,-43.1822,1
8f2a0c89-aa06-48cb-b450-8701415f59af,-22.9064,-43.1822,1
5857c842-d438-4c11-ac96-d7ed7dec532c,-22.9064,-43.1822,1
92d04150-34ad-4265-a4df-6f7dd2519709,39.0437,-77.4875,1
3e8456bb-0b11-4cfa-929b-fe9d52ad6850,45.5234,-122.6762,1
74061961-9438-4b85-9007-fae33e189051,1.3367,103.8939,1
bec546d7-61f8-4d5a-8673-fec167245d65,44.0167,20.9167,1
100bb4ba-62ca-401b-b89d-2e2ab8bdb2d7,48.7437,2.6152,1
03b13451-dbeb-4423-af72-2ac49643fd1e,52.2298,21.0118,1
7ce01c51-cfbe-4af2-887e-db03bed05173,33.7865,-84.4454,1
7c28dd72-f532-4f87-8a97-71810d0f552b,52.3740,4.8897,1
1bb019c2-9974-40d4-b68e-7a6cf72ab332,53.2192,6.5667,1
ff8721cb-4ae6-4762-b617-e62ed541e859,22.2783,114.1747,1
87bb8829-bff2-4b58-bb53-e0ba670a64e1,-43.5333,172.6333,1
c21e80ed-065c-4e9b-b7c8-67882f2d83f8,51.5085,-0.1257,1
652eb6a5-bd9e-49ea-98dc-0735ee3a82f9,47.1899,8.8382,1
8edb36fc-199b-4272-a2b7-d146cecc55c4,50.4779,12.3713,1
1ec04f6e-085a-44df-b429-df516f3129e4,37.3394,-121.8950,1
546256ea-2191-4df3-a193-faccff1ce97a,39.7392,-104.9847,1
d4e6f07e-338d-480f-97e9-d8ab9c4b536b,52.3475,5.9833,1
e15366e1-340a-42c8-9f19-cc1abc892524,47.6740,-122.1215,1
67aeb7d3-d350-4268-a130-098768f15b39,33.7490,-84.3880,1
331f66b5-7a5d-4be1-bc62-dfafd87feda2,-33.8678,151.2073,1
a49439c1-01b2-44bb-9baa-fa5b62fcbdb1,39.0437,-77.4875,1
33804c77-66d9-4897-b715-5d3eb7cad249,60.1695,24.9354,1
ba031339-54bb-4b8a-9e2e-cf4338550dad,39.0437,-77.4875,1
cff5160b-162e-4dd3-9a3c-35e84e211d03,41.6080,2.2877,1
0ba13782-f030-4534-962f-c9b82053543e,37.5202,-122.2758,1
978bf647-15db-42d3-bb42-18cda5af8848,48.2085,16.3721,1
133b07a7-7791-4a8d-82e3-6cde766435cb,49.2497,-123.1193,1
99628f08-f554-4223-9ab0-a13d02dd4cde,60.1695,24.9354,1
c991b6ff-7dcd-45d0-beec-f69c24abfccd,33.8356,-117.8681,1
dcb25326-f1ee-461f-9098-3d13e7382212,30.2672,-97.7431,1
ffa3daaa-fd59-4ba0-88f7-150a5dd8c0b5,30.2672,-97.7431,1
3a2e513a-02c4-4eb7-a90e-96f870d429cb,49.4453,11.0222,1
