Region,Stake Weight
Aargau,45
Bavaria,35
Bratislava Region,98
București,104
California,538
England,1210
Esch-sur-Alzette,153
Grand Est,323
Hauts-de-France,303
Hesse,1146
Hong Kong,102
Illinois,46
Incheon,103
Karnataka,48
Kaunas,77
Leinster,396
Louisiana,86
Maharashtra,105
Mazovia,37
Mersch,194
Missouri,32
Nebraska,113
New Jersey,194
New York,406
North Holland,771
North Rhine-Westphalia,159
Ohio,37
Oregon,33
Oslo,38
Quebec,478
Querétaro,26
Riga,307
Saitama,95
Saxony,227
Schwyz,43
Seoul,196
Siauliai,105
Singapore,547
Taiwan,116
Tokyo,597
Utah,144
Uusimaa,87
Vienna,113
Vilnius,601
Virginia,416
Washington,39
Zurich,222
Île-de-France,100
